技能ID,策划注释,技能名称,技能等级,技能描述,目标选择方式,技能施放概率,法力消耗,技能内置冷却,技能冷却ID,第一次施放,技能类型,附加Impact 1,附加Impact 1概率,选择目标类型,附加Impact 2,附加Impact 2概率,选择目标类型,附加Impact 3,附加Impact 3概率,选择目标类型,附加Impact 4,附加Impact 4概率,选择目标类型,脚本ID,英雄等级,银币消耗,学习类型,道具消耗ID,道具消耗数量,木材消耗,学习成功率,增加成功率道具,道具增加的成功率,道具最大使用数量,技能出手动作（64以下为出手动作）,技能自身特效,技能受击特效,技能图标,技能施放位置（0为原地，1为到某一列前，2为到目标前，3为到敌方整体区域）,技能受击动作（63以上为受击动作）,技能施放特效,特效的类型（0为只有受击，1为点对点，2为发射物体击中目标消失，3为向固定方向发射物体，4为一个区域的大特效）,施放特效缩放比例,施放特效x偏移量,施放特效y偏移量,施放特效声音,本体特效缩放比例,本体特效x偏移量,本体特效y偏移量,本体特效速度,本体特效声音,受击特效缩放比例,受击特效x偏移量,受击特效y偏移量,受击特效声音,施放特效播放速度,本体特效施放速度,受击特效播放速度,起始x偏移量,起始y偏移量,飞行击中x偏移量,飞行击中y偏移量,
109209,死灵书9级,死灵书9级,5,召唤死灵减少敌方单体目标1600点法力值和生命值,0,10000,50,60,93,1,2,50088,10000,3,50098,10000,3,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,zjz_faliranshao,zjz_faliranshaoshouji,zj_benteng.jpg,0,64,zjz_silingshu,1,3,0,0,zs_silingshu.mp3,3,0,0,1.25,zs_silingshu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109210,死灵书10级,死灵书10级,5,召唤死灵减少敌方单体目标1800点法力值和生命值,0,10000,50,60,93,1,2,50089,10000,3,50099,10000,3,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,zjz_faliranshao,zjz_faliranshaoshouji,zj_benteng.jpg,0,64,zjz_silingshu,1,3,0,0,zs_silingshu.mp3,3,0,0,1.25,zs_silingshu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109301,纷争面纱,纷争面纱,1,减少敌方全体10%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,14201,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109302,纷争面纱2级,纷争面纱2级,2,减少敌方全体15%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50101,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109303,纷争面纱3级,纷争面纱3级,3,减少敌方全体20%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50102,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109304,纷争面纱4级,纷争面纱4级,4,减少敌方全体25%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50103,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109305,纷争面纱5级,纷争面纱5级,5,减少敌方全体30%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50104,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109306,纷争面纱6级,纷争面纱6级,5,减少敌方全体35%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50105,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109307,纷争面纱7级,纷争面纱7级,5,减少敌方全体40%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50106,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109308,纷争面纱8级,纷争面纱8级,5,减少敌方全体45%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50107,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109309,纷争面纱9级,纷争面纱9级,5,减少敌方全体50%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50108,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109310,纷争面纱10级,纷争面纱10级,5,减少敌方全体55%魔法伤害减免，持续20回合,0,10000,75,30,94,1,2,50109,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_siwangyizhishouji,zj_benteng.jpg,0,64,zjz_fenzhengmiansha,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109401,阿托斯之棍,阿托斯之棍,1,对敌方单体目标使用致残使其减少攻击速度60%，持续3回合,0,10000,100,16,95,1,2,14301,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,0,-1,-1,-1,-1,80,-1,10,1,-1,zjz_shuailao,zj_benteng.jpg,0,64,zjz_atuosizhigun,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,zs_shuailao.mp3,0.4,0.04,0.04,0,0,0,0,
109501,强袭装甲,强袭装甲,1,被动减少敌方全体物理防御25点和物理免疫15点,0,10000,0,10,96,1,3,14401,10000,6,14402,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109502,强袭装甲2级,强袭装甲2级,2,减少敌方物理防御50点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50111,10000,6,50121,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109503,强袭装甲3级,强袭装甲3级,3,减少敌方物理防御100点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50112,10000,6,50122,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109504,强袭装甲4级,强袭装甲4级,4,减少敌方物理防御150点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50113,10000,6,50123,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109505,强袭装甲5级,强袭装甲5级,5,减少敌方物理防御250点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50114,10000,6,50124,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109506,强袭装甲6级,强袭装甲6级,5,减少敌方物理防御300点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50115,10000,6,50125,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109507,强袭装甲7级,强袭装甲7级,5,减少敌方物理防御350点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50116,10000,6,50126,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109508,强袭装甲8级,强袭装甲8级,5,减少敌方物理防御400点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50117,10000,6,50127,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109509,强袭装甲9级,强袭装甲9级,5,减少敌方物理防御450点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50118,10000,6,50128,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109510,强袭装甲10级,强袭装甲10级,5,减少敌方物理防御500点和物理免疫15点，不可叠加,0,10000,0,10,96,1,3,50119,10000,6,50129,10000,6,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.04,0.04,0.04,0,0,0,0,
109601,黑皇杖,黑皇杖,1,使用天神下凡使自身免受50%的魔法伤害,-1,10000,0,55,97,1,3,14501,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_heihuang,0,3,0,0,zs_heihuang.mp3,3,0,0,1.25,zs_heihuang.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109701,西瓦的守护,西瓦的守护,1,对敌方全体使用极寒冲击，造成400点魔法伤害,0,10000,100,30,98,1,2,14601,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109702,西瓦的守护2级,西瓦的守护2级,2,对敌方全体使用极寒冲击，造成500点魔法伤害,0,10000,100,30,98,1,2,50131,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109703,西瓦的守护3级,西瓦的守护3级,3,对敌方全体使用极寒冲击，造成600点魔法伤害,0,10000,100,30,98,1,2,50132,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109704,西瓦的守护4级,西瓦的守护4级,4,对敌方全体使用极寒冲击，造成700点魔法伤害,0,10000,100,30,98,1,2,50133,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109705,西瓦的守护5级,西瓦的守护5级,5,对敌方全体使用极寒冲击，造成800点魔法伤害,0,10000,100,30,98,1,2,50134,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109706,西瓦的守护6级,西瓦的守护6级,5,对敌方全体使用极寒冲击，造成900点魔法伤害,0,10000,100,30,98,1,2,50135,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109707,西瓦的守护7级,西瓦的守护7级,5,对敌方全体使用极寒冲击，造成1000点魔法伤害,0,10000,100,30,98,1,2,50136,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109708,西瓦的守护8级,西瓦的守护8级,5,对敌方全体使用极寒冲击，造成1100点魔法伤害,0,10000,100,30,98,1,2,50137,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109709,西瓦的守护9级,西瓦的守护9级,5,对敌方全体使用极寒冲击，造成1200点魔法伤害,0,10000,100,30,98,1,2,50138,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109710,西瓦的守护10级,西瓦的守护10级,5,对敌方全体使用极寒冲击，造成1300点魔法伤害,0,10000,100,30,98,1,2,50139,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_benteng.jpg,0,64,zjz_xiwa,0,3,0,0,zs_bingshuangxinxing.mp3,3,0,0,1.25,zs_bingshuangxinxing.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109801,幻影斧,幻影斧,1,对敌方单体造成物理攻击3倍再附加100的伤害,0,10000,165,35,99,1,2,14701,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109802,幻影斧2级,幻影斧2级,2,对敌方单体造成物理攻击3倍再附加200的伤害,0,10000,165,35,99,1,2,50141,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109803,幻影斧3级,幻影斧3级,3,对敌方单体造成物理攻击3倍再附加300的伤害,0,10000,165,35,99,1,2,50142,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109804,幻影斧4级,幻影斧4级,4,对敌方单体造成物理攻击3倍再附加400的伤害,0,10000,165,35,99,1,2,50143,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109805,幻影斧5级,幻影斧5级,5,对敌方单体造成物理攻击3倍再附加500的伤害,0,10000,165,35,99,1,2,50144,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109806,幻影斧6级,幻影斧6级,5,对敌方单体造成物理攻击3倍再附加600的伤害,0,10000,165,35,99,1,2,50145,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109807,幻影斧7级,幻影斧7级,5,对敌方单体造成物理攻击3倍再附加700的伤害,0,10000,165,35,99,1,2,50146,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109808,幻影斧8级,幻影斧8级,5,对敌方单体造成物理攻击3倍再附加800的伤害,0,10000,165,35,99,1,2,50147,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109809,幻影斧9级,幻影斧9级,5,对敌方单体造成物理攻击3倍再附加900的伤害,0,10000,165,35,99,1,2,50148,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109810,幻影斧10级,幻影斧10级,5,对敌方单体造成物理攻击3倍再附加1000的伤害,0,10000,165,35,99,1,2,50149,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,zjz_wulimingzhong,zj_benteng.jpg,0,64,zjz_huanyingfu,0,3,0,0,zs_huanyingfu.mp3,3,0,0,1.25,zs_huanyingfu.mp3,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
109901,散夜对剑,散夜对剑,1,主动对目标使用使其残废，削弱其攻击速度30%，持续3回合,0,1500,0,10,100,1,2,14801,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_shuailao,zj_benteng.jpg,0,64,zjz_duijian,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,zs_shuailao.mp3,0.4,0.04,0.04,0,0,0,0,
110001,撒旦之邪力,撒旦之邪力,1,主动使用不洁狂热使自身恢复500点生命值,-1,10000,0,35,101,1,2,14901,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110002,撒旦之邪力2级,撒旦之邪力2级,2,主动使用不洁狂热使自身恢复750点生命值,-1,10000,0,35,101,1,2,50151,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110003,撒旦之邪力3级,撒旦之邪力3级,3,主动使用不洁狂热使自身恢复1000点生命值,-1,10000,0,35,101,1,2,50152,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110004,撒旦之邪力4级,撒旦之邪力4级,4,主动使用不洁狂热使自身恢复1300点生命值,-1,10000,0,35,101,1,2,50153,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110005,撒旦之邪力5级,撒旦之邪力5级,5,主动使用不洁狂热使自身恢复1600点生命值,-1,10000,0,35,101,1,2,50154,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110006,撒旦之邪力6级,撒旦之邪力6级,5,主动使用不洁狂热使自身恢复1900点生命值,-1,10000,0,35,101,1,2,50155,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110007,撒旦之邪力7级,撒旦之邪力7级,5,主动使用不洁狂热使自身恢复2200点生命值,-1,10000,0,35,101,1,2,50156,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110008,撒旦之邪力8级,撒旦之邪力8级,5,主动使用不洁狂热使自身恢复2500点生命值,-1,10000,0,35,101,1,2,50157,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110009,撒旦之邪力9级,撒旦之邪力9级,5,主动使用不洁狂热使自身恢复2800点生命值,-1,10000,0,35,101,1,2,50158,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110010,撒旦之邪力10级,撒旦之邪力10级,5,主动使用不洁狂热使自身恢复3100点生命值,-1,10000,0,35,101,1,2,50159,10000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,1,-1,-1,-1,80,-1,10,2,1,-1,-1,zj_benteng.jpg,0,64,zjz_sadanzhixieli,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0,-1,0.4,0.04,0.04,0,0,0,0,
110101,雷神之锤,雷神之锤,1,连环闪电使敌方全体受到200点魔法伤害,0,10000,50,30,102,1,2,15001,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_leiji,zj_benteng.jpg,0,64,zjz_leishenzhinu,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0.06,zs_leiji.mp3,0.4,0.04,0.04,0,0,0,0,
110102,雷神之锤2级,雷神之锤2级,2,连环闪电使敌方全体受到300点魔法伤害,0,10000,50,30,102,1,2,50161,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_leiji,zj_benteng.jpg,0,64,zjz_leishenzhinu,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0.06,zs_leiji.mp3,0.4,0.04,0.04,0,0,0,0,
110103,雷神之锤3级,雷神之锤3级,3,连环闪电使敌方全体受到400点魔法伤害,0,10000,50,30,102,1,2,50162,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,80,-1,10,2,1,-1,zjz_leiji,zj_benteng.jpg,0,64,zjz_leishenzhinu,0,3,0,0,-1,3,0,0,1.25,-1,2,0,0.06,zs_leiji.mp3,0.4,0.04,0.04,0,0,0,0,
